-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         2.67%     965.799ms         2.68%     968.107ms       5.180us       0.000us         0.00%       0.000us       0.000us       3.93 GB       3.93 GB     534.38 GB     534.38 GB        186903  
                                               aten::mm         3.66%        1.322s        12.71%        4.589s     629.360us       10.155s        38.89%       13.633s       1.870ms       2.96 GB       2.96 GB     398.01 GB     398.01 GB          7291  
                                              aten::add         1.14%     410.135ms         5.80%        2.094s      80.063us     728.131ms         2.79%     984.562ms      37.643us       1.70 GB       1.70 GB     217.49 GB     217.46 GB         26155  
                                             aten::gelu         0.47%     171.459ms         0.80%     289.091ms     102.080us     507.190ms         1.94%     886.293ms     312.956us       1.69 GB       1.69 GB     197.44 GB     197.44 GB          2832  
                                              aten::bmm         0.91%     328.033ms         3.01%        1.088s     146.997us        1.595s         6.11%        2.581s     348.533us       1.27 GB       1.27 GB     173.88 GB     173.88 GB          7404  
                                              aten::mul         0.37%     132.418ms         0.61%     219.444ms      47.643us     442.421ms         1.69%     451.572ms      98.040us     915.22 MB     915.22 MB     155.69 GB     155.69 GB          4606  
                                    aten::empty_strided         0.13%      46.055ms         0.13%      47.521ms       6.642us       0.000us         0.00%       0.000us       0.000us       1.32 GB       1.32 GB     134.23 GB     134.23 GB          7155  
                                            aten::addmm         2.95%        1.064s         9.80%        3.540s     397.949us        5.742s        21.99%        8.864s     996.354us     897.38 MB     897.38 MB     102.70 GB     102.70 GB          8896  
                                              aten::cat         0.25%      89.070ms         0.70%     252.661ms     118.398us     140.606ms         0.54%     149.647ms      70.125us     474.89 MB     474.89 MB      52.05 GB      52.05 GB          2134  
                                aten::cudnn_convolution         3.40%        1.229s         5.86%        2.117s      54.235us        2.234s         8.55%        2.290s      58.673us           0 B           0 B      39.41 GB      39.40 GB         39032  
